1	19216800000203	1541873329500	206,305,405,505	24726.00000,29609.66667,28736.00000,28205.50000	1836.00000,2453.92343,960.00000,429.50000	173.46939,237.33539,226.60966,166.00529	0.00000,45.37318,48.03823,12.56614
3	19216800000203	1541873341500	1102,1103	5474.50000,7897.50000	150.50000,1283.30384	19.41748,38.95420	0.00000,16.99457
3	19216800000203	1541873346000	404,304,205,105	15342.00000,14978.60000,13590.50000,11516.75000	894.00000,686.15147,626.01498,1068.29148	133.33333,111.64850,133.13211,-1	0.00000,26.06565,62.97102,51.63124
5	19216800000203	1541873352000	307,407,507,607,707,807,907	29091.33333,28614.66667,29817.66667,28521.50000,29470.66667,31253.00000,28764.00000	2668.92754,1108.73542,1759.40792,633.50000,2701.94613,2021.00000,468.00000	250.94905,187.91668,273.11292,324.82517,210.88477,185.17081,279.24877	6.19381,46.05889,86.19691,66.08392,35.47596,11.25776,82.82020
7	19216800000203	1541873376000	1006,906	27818.00000,30859.33333	472.00000,2463.12462	215.68627,209.42456	0.00000,9.64146
9	19216800000203	1541873383500	1104,1004,904,804,704	14848.00000,14934.66667,15570.25000,15994.00000,15210.00000	288.00000,515.78118,662.43769,495.38066,195.00000	257.14286,188.65594,156.27394,208.24469,127.08521	0.00000,48.81930,44.94385,33.13208,34.88662
9	19216800000203	1541873388000	105	6255.00000	0.00000	-1	0.00000
14	19216800000203	1541873389500	606,506,406,306,206	33735.00000,37734.66667,38449.50000,37366.00000,30966.00000	2759.00000,1359.51568,1366.50000,2882.11913,1741.95828	198.41270,243.92637,281.04654,186.48019,112.12370	0.00000,48.02748,29.29829,47.32375,48.77862
20	19216800000203	1541873424000	205,204,304,305,304,404	11536.00000,12276.25000,13905.50000,13615.00000,13642.00000,14166.66667	56.00000,1068.00851,199.50000,91.00000,118.00000,356.46162	252.42718,108.37468,85.36075,138.63798,151.17933,131.94479	0.00000,87.30453,22.42368,30.85355,18.31220,16.01296
20	19216800000203	1541873428500	1104,1204	14328.00000,11560.37500	808.00000,1882.83071	126.98413,-1	0.00000,40.07835
